Year,Geography,Visas,Continent
2001,Russia,2167,Europe
2000,Russia,1945,Europe
1999,Russia,1619,Europe
2004,Russia,1484,Europe
1998,Russia,1395,Europe
1997,Russia,1357,Europe
2002,Russia,1336,Europe
2005,Russia,1240,Europe
2006,Russia,1203,Europe
2003,Russia,1194,Europe
2007,Russia,1150,Europe
2012,Russia,914,Europe
2011,Russia,883,Europe
2013,Russia,878,Europe
2008,Russia,752,Europe
2014,Russia,735,Europe
2009,Russia,695,Europe
2010,Russia,692,Europe
2001,Philippines,4470,Asia
2007,Philippines,4279,Asia
2008,Philippines,3998,Asia
2009,Philippines,3676,Asia
2004,Philippines,3467,Asia
2002,Philippines,3387,Asia
2010,Philippines,3173,Asia
2000,Philippines,3102,Asia
1999,Philippines,3064,Asia
2003,Philippines,3027,Asia
2005,Philippines,2849,Asia
2006,Philippines,2823,Asia
1998,Philippines,2759,Asia
1997,Philippines,2653,Asia
2011,Philippines,2369,Asia
2013,Philippines,2160,Asia
2012,Philippines,2026,Asia
2014,Philippines,1700,Asia
2001,Pakistan,2903,Asia
2000,Pakistan,2295,Asia
1999,Pakistan,1933,Asia
1998,Pakistan,1509,Asia
2006,Pakistan,1293,Asia
2004,Pakistan,1279,Asia
2007,Pakistan,1233,Asia
2002,Pakistan,1227,Asia
1997,Pakistan,1144,Asia
2005,Pakistan,1117,Asia
2003,Pakistan,1017,Asia
2008,Pakistan,926,Asia
2009,Pakistan,838,Asia
2010,Pakistan,693,Asia
2014,Pakistan,670,Asia
2013,Pakistan,636,Asia
2012,Pakistan,613,Asia
2011,Pakistan,592,Asia
2013,Mexico,3686,North America
2012,Mexico,3543,North America
2014,Mexico,3243,North America
2004,Mexico,3016,North America
2002,Mexico,2990,North America
2001,Mexico,2915,North America
2007,Mexico,2905,North America
1997,Mexico,2785,North America
2006,Mexico,2699,North America
2003,Mexico,2664,North America
2011,Mexico,2647,North America
2005,Mexico,2505,North America
2010,Mexico,2494,North America
2008,Mexico,2421,North America
1999,Mexico,2418,North America
2000,Mexico,2404,North America
1998,Mexico,2320,North America
2009,Mexico,2190,North America
2001,Malaysia,1411,Asia
2000,Malaysia,1251,Asia
2004,Malaysia,1050,Asia
2006,Malaysia,967,Asia
2005,Malaysia,967,Asia
2007,Malaysia,926,Asia
1999,Malaysia,907,Asia
2002,Malaysia,891,Asia
2008,Malaysia,709,Asia
2010,Malaysia,648,Asia
2009,Malaysia,603,Asia
1998,Malaysia,564,Asia
2011,Malaysia,556,Asia
2003,Malaysia,549,Asia
1997,Malaysia,534,Asia
2012,Malaysia,523,Asia
2013,Malaysia,493,Asia
2014,Malaysia,443,Asia
2006,South Korea,3924,Asia
2005,South Korea,3838,Asia
2007,South Korea,3788,Asia
2010,South Korea,3656,Asia
2011,South Korea,3501,Asia
2004,South Korea,3422,Asia
2008,South Korea,3257,Asia
2009,South Korea,3233,Asia
2012,South Korea,3131,Asia
2013,South Korea,3000,Asia
2002,South Korea,2989,Asia
2001,South Korea,2899,Asia
2003,South Korea,2892,Asia
2014,South Korea,2727,Asia
2000,South Korea,2296,Asia
1999,South Korea,1911,Asia
1998,South Korea,940,Asia
1997,South Korea,900,Asia
2004,Japan,4214,Asia
2001,Japan,4096,Asia
2005,Japan,4073,Asia
2003,Japan,3836,Asia
2006,Japan,3795,Asia
2000,Japan,3781,Asia
2002,Japan,3772,Asia
2007,Japan,3516,Asia
1999,Japan,3338,Asia
1997,Japan,2929,Asia
1998,Japan,2878,Asia
2008,Japan,2610,Asia
2009,Japan,2505,Asia
2010,Japan,2430,Asia
2011,Japan,2054,Asia
2012,Japan,1907,Asia
2013,Japan,1698,Asia
2014,Japan,1369,Asia
2001,Italy,1251,Europe
2004,Italy,1219,Europe
2012,Italy,1165,Europe
2005,Italy,1125,Europe
2002,Italy,1106,Europe
2011,Italy,1095,Europe
2006,Italy,1088,Europe
2013,Italy,1086,Europe
2010,Italy,1068,Europe
2000,Italy,1050,Europe
2014,Italy,1030,Europe
2003,Italy,1005,Europe
2007,Italy,974,Europe
1999,Italy,970,Europe
2009,Italy,867,Europe
2008,Italy,865,Europe
1998,Italy,833,Europe
1997,Italy,806,Europe
2004,Israel,1520,Asia
2001,Israel,1454,Asia
2005,Israel,1355,Asia
2002,Israel,1350,Asia
2003,Israel,1233,Asia
2000,Israel,1223,Asia
2006,Israel,1179,Asia
2007,Israel,1075,Asia
1999,Israel,1030,Asia
1997,Israel,842,Asia
2008,Israel,829,Asia
1998,Israel,823,Asia
2010,Israel,786,Asia
2011,Israel,774,Asia
2009,Israel,758,Asia
2012,Israel,754,Asia
2013,Israel,661,Asia
2014,Israel,597,Asia
2001,Indonesia,1462,Asia
2000,Indonesia,1241,Asia
2007,Indonesia,1007,Asia
2002,Indonesia,928,Asia
2006,Indonesia,890,Asia
2005,Indonesia,831,Asia
2008,Indonesia,783,Asia
2010,Indonesia,748,Asia
2009,Indonesia,694,Asia
2004,Indonesia,685,Asia
2011,Indonesia,674,Asia
1999,Indonesia,671,Asia
2012,Indonesia,609,Asia
2003,Indonesia,563,Asia
2013,Indonesia,509,Asia
2014,Indonesia,453,Asia
2014,India,108817,Asia
2013,India,99705,Asia
2007,India,83464,Asia
2012,India,80630,Asia
2001,India,74078,Asia
2008,India,72517,Asia
2011,India,72438,Asia
2006,India,64887,Asia
2004,India,63737,Asia
2000,India,61530,Asia
2010,India,58664,Asia
2009,India,55886,Asia
1999,India,55062,Asia
2005,India,53579,Asia
2002,India,44012,Asia
2003,India,42245,Asia
1998,India,40246,Asia
1997,India,31684,Asia
2001,England,8462,Europe
2000,England,7304,Europe
1997,England,6927,Europe
2002,England,6842,Europe
1999,England,6664,Europe
2004,England,6557,Europe
1998,England,6342,Europe
2003,England,6095,Europe
2005,England,5617,Europe
2006,England,4805,Europe
2007,England,4475,Europe
2011,England,3660,Europe
2010,England,3553,Europe
2008,England,3082,Europe
2012,England,3019,Europe
2009,England,2901,Europe
2013,England,2699,Europe
2014,England,2509,Europe
2001,Germany,3190,Europe
2004,Germany,2859,Europe
2002,Germany,2859,Europe
2000,Germany,2699,Europe
2005,Germany,2550,Europe
2003,Germany,2473,Europe
1999,Germany,2444,Europe
2006,Germany,2395,Europe
1998,Germany,2242,Europe
2007,Germany,2100,Europe
1997,Germany,2088,Europe
2008,Germany,1674,Europe
2010,Germany,1639,Europe
2011,Germany,1627,Europe
2009,Germany,1523,Europe
2012,Germany,1446,Europe
2013,Germany,1274,Europe
2014,Germany,1213,Europe
2001,France,3450,Europe
2002,France,2913,Europe
2000,France,2803,Europe
2004,France,2715,Europe
2005,France,2627,Europe
2003,France,2573,Europe
1999,France,2429,Europe
2006,France,2373,Europe
2007,France,2190,Europe
1998,France,2110,Europe
2011,France,2069,Europe
2010,France,1951,Europe
1997,France,1894,Europe
2012,France,1855,Europe
2013,France,1782,Europe
2008,France,1770,Europe
2014,France,1709,Europe
2009,France,1662,Europe
2004,Colombia,2174,South America
2002,Colombia,1939,South America
2001,Colombia,1881,South America
2005,Colombia,1849,South America
2006,Colombia,1717,South America
2007,Colombia,1631,South America
2003,Colombia,1595,South America
2000,Colombia,1200,South America
2008,Colombia,1199,South America
2009,Colombia,1181,South America
2010,Colombia,1114,South America
2011,Colombia,934,South America
2012,Colombia,904,South America
1999,Colombia,812,South America
2013,Colombia,787,South America
2014,Colombia,714,South America
1997,Colombia,531,South America
1998,Colombia,503,South America
2001,Taiwan,2906,Asia
2000,Taiwan,2712,Asia
2004,Taiwan,2662,Asia
2002,Taiwan,2642,Asia
2006,Taiwan,2537,Asia
2007,Taiwan,2506,Asia
2005,Taiwan,2483,Asia
1999,Taiwan,2209,Asia
2010,Taiwan,2061,Asia
2009,Taiwan,2057,Asia
2003,Taiwan,2039,Asia
2008,Taiwan,1945,Asia
2011,Taiwan,1705,Asia
1998,Taiwan,1693,Asia
2012,Taiwan,1692,Asia
2013,Taiwan,1560,Asia
2014,Taiwan,1505,Asia
1997,Taiwan,1420,Asia
2014,China,14871,Asia
2013,China,12632,Asia
2010,China,11242,Asia
2012,China,11077,Asia
2011,China,10849,Asia
2007,China,10761,Asia
2006,China,9451,Asia
2009,China,9223,Asia
2008,China,9141,Asia
2001,China,9076,Asia
2002,China,7576,Asia
2000,China,7489,Asia
2005,China,7113,Asia
2004,China,6583,Asia
1999,China,5775,Asia
2003,China,5608,Asia
1998,China,3880,Asia
1997,China,3206,Asia
2001,Brazil,2367,South America
2004,Brazil,2174,South America
2002,Brazil,2155,South America
2006,Brazil,2039,South America
2003,Brazil,2011,South America
2005,Brazil,1972,South America
2007,Brazil,1938,South America
2000,Brazil,1913,South America
2011,Brazil,1614,South America
2010,Brazil,1613,South America
2012,Brazil,1583,South America
1999,Brazil,1581,South America
2008,Brazil,1483,South America
2009,Brazil,1466,South America
2013,Brazil,1451,South America
2014,Brazil,1352,South America
1998,Brazil,1323,South America
1997,Brazil,1078,South America
2001,Australia,2176,Oceania
2002,Australia,1814,Oceania
2000,Australia,1794,Oceania
1998,Australia,1665,Oceania
1999,Australia,1651,Oceania
2003,Australia,1627,Oceania
2004,Australia,1614,Oceania
1997,Australia,1436,Oceania
2005,Australia,1392,Oceania
2006,Australia,990,Oceania
2007,Australia,695,Oceania
2011,Australia,537,Oceania
2010,Australia,495,Oceania
2008,Australia,482,Oceania
2009,Australia,442,Oceania
2012,Australia,427,Oceania
2014,Australia,424,Oceania
2013,Australia,416,Oceania
2002,Argentina,1644,South America
2005,Argentina,1517,South America
2003,Argentina,1517,South America
2004,Argentina,1507,South America
2006,Argentina,1406,South America
2007,Argentina,1185,South America
2001,Argentina,1106,South America
2008,Argentina,859,South America
2000,Argentina,817,South America
2009,Argentina,753,South America
2010,Argentina,727,South America
2011,Argentina,675,South America
1999,Argentina,627,South America
1998,Argentina,560,South America
1997,Argentina,535,South America
2012,Argentina,525,South America
2013,Argentina,487,South America
2014,Argentina,434,South America
